mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,spectral_centroid,spectral_bandwidth,zero_crossing_rate,spectrogram_mean,spectrogram_median,spectrogram_variance,label
-281.9724,-27.002085,-48.788036,25.448553,21.6948,13.263804,-14.020556,7.747015,2.9408698,-6.7765093,-11.882449,13.568652,-10.740694,2919.103036,1632.128306,0.230365954,0.56524295,0.33799353,0.60661566,1
-386.16647,55.684887,-4.8408613,19.66191,13.2797165,11.665585,-4.929646,-0.58848834,-1.7088696,-4.0727777,-5.881234,6.675362,-3.6990135,1742.769122,1494.882665,0.124316406,0.22807978,0.14380534,0.083308965,1
-251.50034,-32.128223,-104.34748,-2.496558,34.57379,34.05555,-24.05439,15.440025,1.4073259,-0.697393,-9.792743,2.4495199,2.4640214,2278.370773,1331.920806,0.214244915,0.8527444,0.32452917,2.4300983,1
-220.439,107.30487,-32.439606,11.230356,-7.062341,20.047394,3.3209488,1.1450912,-2.7694623,5.505599,-8.787787,-3.005107,-2.7132244,1349.370216,1365.37417,0.094285103,0.63341,0.22043529,1.7000418,1
-250.40857,137.83595,-42.434673,-0.09335724,-1.5881166,3.683796,5.2986865,-14.840858,5.707088,7.519821,-11.900642,-8.919777,2.5642922,1097.990884,1097.00143,0.095469157,0.6662914,0.053392068,4.133181,1
-233.41035,126.75459,-44.237396,-8.476472,-7.121097,6.2622123,5.129238,-18.868792,-9.401347,5.8869414,-17.788765,-10.49268,-2.852141,1206.320408,1157.965852,0.107294497,0.7241176,0.065424435,3.4005518,1
-222.3937,85.4278,-68.36607,-2.1305337,-4.159673,8.64073,1.3729892,12.819236,1.8143839,-17.144028,-25.48081,3.4079494,7.76799,1571.409333,1152.015659,0.156134354,1.0427204,0.16765904,3.7586017,1
-188.62454,99.68856,-51.505585,-21.334589,-1.9958174,22.597387,0.87644285,-25.441702,-5.3359303,-13.323283,-16.366379,1.8757659,3.219712,1376.040494,1142.423112,0.126982718,1.151618,0.16847783,8.664446,1
-221.37822,102.526,-62.30866,0.8715871,6.5249333,27.98975,-11.102798,-12.394422,-12.69003,-11.428468,-12.114492,-3.3513877,8.089748,1430.764337,1090.490062,0.142274599,0.9226608,0.16412655,4.454551,1
-214.37798,92.20813,-57.252274,-6.9557214,1.539988,24.095156,-4.9896603,-13.452523,-8.9546585,-9.584857,-6.281658,-1.0552412,-14.136882,1452.676962,1187.690377,0.130459872,0.8362485,0.22373484,6.9208927,1
-217.61365,79.99866,-64.03934,-6.349784,8.41697,26.419369,-10.07038,-11.874303,-7.2697916,-7.9852114,-15.355833,-2.0448258,-1.8677164,1552.634824,1184.178694,0.151657831,0.8527409,0.23538998,6.3429513,1
-204.08224,66.94408,-77.72306,0.41368285,7.823119,18.671272,-10.069271,-14.245071,-1.5644821,-10.926386,-16.97912,1.1256894,-5.4543815,1668.072606,1154.223035,0.162801107,1.0341756,0.29457098,5.4417324,1
-338.79462,22.903412,-43.445194,12.466243,8.28901,15.734883,-25.405487,1.1637118,14.956556,1.3675623,-15.649743,12.842095,-2.7936978,2168.774653,1423.386159,0.173353407,0.3950796,0.14366248,1.0413783,1
-207.36519,93.60535,-58.996628,-5.077816,-6.2365513,6.790614,-10.088696,-9.619001,8.151239,5.000783,-5.375893,-0.7779377,-5.041239,1506.59457,1225.848483,0.138144003,1.0216517,0.20451562,4.894777,1
-198.65952,111.10721,-67.72879,-0.48295856,-5.401057,23.345404,-7.276038,-20.119343,-14.399801,-16.909542,-13.736393,14.1476755,11.814122,1387.833398,1112.914736,0.129724451,0.95893645,0.16119908,4.607218,1
-181.65479,61.93273,-65.76133,-11.091647,-27.70738,11.898591,-1.4872693,-16.999155,-9.068991,0.86226296,-14.95836,-2.9765363,-5.182345,1723.983595,1374.480418,0.126220703,1.202237,0.43789724,7.2390547,1
-179.79617,93.39251,-37.33607,-4.7460938,-35.147465,2.6410737,2.561389,-15.156019,-7.4696393,5.7329044,-1.7895551,-3.567772,-6.729723,1399.716469,1299.015922,0.096259223,1.1533127,0.3504263,9.723971,1
-170.20325,68.141975,-63.38287,6.541827,-23.576038,3.3422604,2.1533167,-11.69671,-2.8709722,13.28737,-19.001146,-1.3523833,-9.242789,1822.833954,1357.955711,0.152599516,1.2340696,0.44974476,2.855447,1
-181.00285,69.32085,-40.74921,-12.25701,-41.81604,-5.803536,-1.6166862,-17.60247,-4.6050944,12.798292,-0.21724561,-1.8817331,-7.2356305,1446.903093,1354.056954,0.093069894,1.120868,0.30456728,14.197569,1
-198.29997,77.25958,-3.6693308,-11.321945,-26.397898,-18.794855,-9.18338,-4.5860415,-20.589045,-9.154245,-12.153244,-2.6410978,-15.548706,1357.490361,1575.326949,0.06950887,0.99945563,0.30233765,17.047962,1
